Headlines,Time,Description
Fed holds off on permanent lending tool as policymakers mull details,Nov 20 2019,"The Federal Reserve will hold off deciding whether to introduce a permanent lending facility aimed at staving off the money market ructions seen earlier this fall even as a growing number of policymakers warm to the idea, several sources told Reuters."
Boeing omitted safeguards on 737 MAX that were used on military jet: WSJ,Sep 29 2019,"Boeing Co  engineers working on the 737 MAX passenger plane's flight-control system omitted safeguards included in an earlier version of the system used on a military tanker jet, The Wall Street Journal reported on Sunday, citing people familiar with the matter."
Nasdaq goes bear as momentum plays run out of gas,Dec 20 2018,"Investors are finding out that it is not all puppies and unicorns when it comes to momentum plays, in a painful lesson as the Nasdaq tumbles to the edge of a bear market."
FCC considers ending merger ban among broadcast networks,Dec 12 2018,The Federal Communications Commission on Wednesday voted to open a new review of U.S. media ownership rules and seek comments on whether the government should end a prohibition on mergers among the four largest broadcast networks.
Citi sees stronger China wealthy client base in 2019 despite economy slowing,Jan 28 2019,"Citigroup expects its China wealth management client base to grow faster in 2019 than last year, at more than 30 percent, the bank's country chief said, despite the world's second-largest economy slowing and feeling the pain of a trade war."
"Hyundai targets EV sales of over half a million by 2025, posts disappointing third-quarter",Oct 24 2019,"South Korea's Hyundai Motor pledged to boost sales of electric vehicles (EV) to over half a million by 2025 as part of a bid to focus on new technologies and catch up with rivals, but some analysts saw the target as conservative and warned of the costs."
Factbox: International tax faces biggest shake-up in decades under OECD plan,Oct 09 2019,The Organisation for Economic Cooperation (OECD) has proposed overhauling rules for taxing cross-border corporate income to bring them into line with the digital age.
"U.S. trade groups urge China to increase purchases of U.S. goods, services",Jul 06 2020,The U.S. Chamber of Commerce and over 40 trade associations on Monday urged top American and Chinese officials to redouble efforts to implement a Phase 1 trade agreement signed by the world's two largest economies in January despite pandemic-related strains.
"Coronavirus relief deal for U.S. small businesses may come Monday, Trump says",Apr 20 2020,"U.S. Democrats and Republicans are near agreement on extra money to help small businesses hurt by the coronavirus pandemic and could seal a deal as early as Monday, President Donald Trump said on Sunday."
Russian fund CEO says Saudi economic drive important for world,Oct 23 2018,"Saudi Arabia's economic transformation plan is important for the world, the chief executive of the Russian sovereign wealth fund Russian Direct Investment Fund (RDIF) said on Tuesday."
China's industrial profits shrink most since late 2011 as economy cools,Mar 27 2019,"China's industrial firms posted their worst slump in profits  since late 2011 in the first two months of this year, data showed on Wednesday, as increasing strains on the economy in the face of slowing demand at home and abroad took a toll on businesses."
Pence says U.S. to maintain 'strong stand' on TikTok,Jul 07 2020,"U.S. Vice President Mike Pence said on Tuesday the United States would ""continue to take a strong stand"" regarding Chinese entities that threaten U.S. security, including potentially the social media app TikTok."
Samsonite's shares set to rise 7.8 percent as CEO steps down,May 31 2018,Shares of Samsonite International  were set to rise 7.8 percent in resumed trade on Friday after it said it had replaced its chief executive following a short-seller attack that caused the firm's shares to plunge.
'Demand destruction' - analysts race to lower outlooks for oil,Mar 20 2020,"Traders and analysts are struggling to revise down their forecasts for oil demand fast enough, as government lockdowns to contain the coronavirus outbreak have rapidly cut fuel consumption."
Exclusive: S&P Global cuts top sovereign analysts as part of broader cull,Mar 26 2018,"The world's biggest credit ratings agency S&P Global has cut more than five of its most senior sovereign analysts as part of a broader reduction of in excess of 100 staff, a source told Reuters."
Global stocks climb as currency war fears ease,Aug 06 2019,"World stock markets inched higher on Tuesday, propelled by solid gains on Wall Street, after China's central bank stepped in to stabilize the yuan, soothing fears that a protracted trade spat between the United States and China would spill over into a currency war."
G20 agriculture ministers had 'frank discussion' about protectionism: Germany,Jul 28 2018,"The G20 agriculture ministers gathered in Buenos Aires this weekend had a ""frank discussion"" about the fact that they do not want unilateral protectionist measures, German Agriculture Minister Julia Klockner told reporters on Saturday."
Glenview backs Cigna-Express Scripts deal after Icahn criticism,Aug 09 2018,Hedge fund Glenview Capital Management on Thursday backed health insurer Cigna Corp's  deal to buy pharmacy benefit manager Express Scripts  in the face of stiff opposition from activist investor Carl Icahn ahead of a shareholder vote.
"Oil rebounds from steep sell-off as OPEC, partners discuss supply cut",Nov 14 2018,"Oil rose about 1 percent on Wednesday, recouping some of the previous session's heavy sell-off, on growing prospects that the Organization of the Petroleum Exporting Countries and allied producers would cut output at a meeting next month to prop up prices."
Global airlines chief warns on spiraling delays to Boeing 737 MAX,Dec 11 2019,"Airlines face significant problems if the return to service of the Boeing 737 MAX drags on for months longer, the head of the International Air Transport Association said on Wednesday."
UBS boss Ermotti fears Europe's banks 'too small to survive',Nov 13 2019,"UBS Group  Chief Executive Sergio Ermotti on Wednesday said banking consolidation, especially in Europe, is unavoidable in coming years as institutions must achieve critical mass to remain competitive."
Exclusive: Google appears to have leveraged Android dominance - India watchdog,Jun 28 2019,"Google  appears to have misused its dominant position in India and reduced the ability of device manufacturers to opt for alternate versions of its Android mobile operating system, Indian officials found before ordering a wider probe in an antitrust case."
"Papa John's gives upbeat full-year forecast after rocky 2018, shares rise",Feb 26 2019,"Papa John's International Inc forecast better-than-feared North American same-store sales on Tuesday, as the U.S. pizza chain's investments on rebranding following its months-long spat with founder John Schnatter pay off."
